,PLANT,LAT,LONG,CAST,AHOS,ALBE,ALEX,ALTA,BLUE,CHAR,CHES,CHUC,ELIZ,EMER,ERIC,FAIR,FARM,FISH,FRED,GLOU,HERN,KHWK,LEES,MIDL,MILL,NNCK,NORF,ORAN,PENI,PETE,RICH,ROAN,ROCK,SBOS,SHEN,SMTR,SPRI,SSID,VBCH,WARR,WILL,WOOD
0,CAST,37.46689,-77.447,,85.44471099761135,113.49195940732383,94.96540598466478,104.00070760995979,100.49252811504269,68.37006951892694,80.07049492071634,69.79297375779073,105.11534227452967,0.0,5.136766967573699,95.60875592818975,53.11177683971813,93.89648651654548,57.788206815320294,48.70303817967114,103.89287477896912,137.04552630756172,113.52922100541988,11.509389671367618,390.73078003043605,55.41133643934037,76.81167899733931,62.265951333816226,67.89487372511127,18.3522114263898,5.136766967573699,70.80086585113418,111.55322208453346,96.14125458091866,113.42010428863298,0.0,92.2156333373945,63.48033377350327,91.33717822068893,88.21620257700278,42.81195668583736,83.39741860651391
1,AHOS,36.286821999999994,-76.98468100000001,85.44471099761135,,30.124453948863344,174.0115904644603,139.62502047424607,172.5061668299561,145.7499579167252,51.03553710272084,37.7775062104052,42.41719219998988,85.44471099761135,90.15303806294413,177.7130297290247,104.79925457415911,166.147798449721,141.75137187064993,83.41823722058918,186.65326890052035,73.60505008798768,197.3639824802298,91.79915506924506,443.5407642998941,106.23230958001322,54.9725236584034,146.91201212698627,62.385973801797874,67.28098844798464,90.15303806294413,39.200039714255354,170.56242473730262,110.20310655967427,197.68685273105228,85.44471099761135,173.01972284449977,70.44620169280157,68.19424295976408,173.4794509236301,69.68918397446937,164.83213602532808
2,ALBE,35.8546,-77.0555,113.49195940732383,30.124453948863344,,203.84243830422434,151.2998850004409,193.71790631130992,169.51274775593356,76.24282640741997,65.8412740766161,55.82466030437372,113.49195940732383,118.3920151792914,207.16015683211637,124.49973065803768,187.62038874845484,170.64815352962526,113.28924180780942,215.98758514998983,77.56446157312114,226.42086101768632,118.63140742970204,471.5059624840371,136.20801561769608,81.06436779691161,173.6739999768621,90.26197832038822,95.14237127766219,118.3920151792914,53.41996440279188,187.6196790443569,118.20585818453304,223.7982851819474,113.49195940732383,202.65651416884472,84.87853129594441,91.39352898971887,201.69797831807193,99.73132199429348,194.35509128313853
3,ALEX,38.804836,-77.046921,94.96540598466478,174.0115904644603,203.84243830422434,,168.9779431401596,118.5482872054028,94.13642248046897,146.69881268930203,145.70026861041728,178.70261267212203,94.96540598466478,89.86253304755145,14.255577701552635,127.02190742901891,114.87501949208327,41.23909828424404,97.6044927595219,21.405507407044652,203.24771491434856,34.22307424168556,95.72009209633822,308.1282381628471,76.63952750201418,141.25544416089443,64.86177998064954,128.61551099141906,112.04928225963846,89.86253304755145,165.68559092519834,148.10774947410147,177.30015230602086,78.6899220426392,94.96540598466478,7.670202333244474,155.28289287802787,146.93681411047407,40.822155756971554,107.59595324180356,14.496219780478038
4,ALTA,37.1118,-79.2856,104.00070760995979,139.62502047424607,151.2998850004409,168.9779431401596,,72.64605628938182,77.3373638818373,167.2533833943207,151.6060485293788,178.60675933720267,104.00070760995979,105.8505383876809,161.17468496252948,50.90528234001943,70.37330209124164,129.33674480785436,151.632048376014,164.8789187842585,211.94879332018598,167.08299470805966,93.78198132569942,477.1059184862071,158.86233176806752,166.5392821152137,104.92272278826192,162.35685857523617,104.70982904076348,105.8505383876809,100.85682236743594,47.068809247748334,35.56754830018088,129.45247737617967,104.00070760995979,162.62069818150542,69.20550030938499,183.4228106645566,137.2889786229185,142.32403060251005,154.48331090667364
5,BLUE,38.149592999999996,-79.072556,100.49252811504269,172.5061668299561,193.71790631130992,118.5482872054028,72.64605628938182,,33.45262325187632,180.10280823785723,168.20236102569874,202.1344522279425,100.49252811504269,98.70153336491822,106.94619212102648,69.37051182623098,6.6165901382749785,88.13907990796629,145.57593280774495,107.39885112853865,235.31019455158756,105.51142035158627,89.46547214347991,420.85530342622866,141.74117609225573,177.15056747590663,57.88731975977296,168.35431061613744,112.8889226155636,98.70153336491822,140.50460482095764,32.616693664396976,100.68268338088669,59.14274335399006,100.49252811504269,111.05693359140173,111.11194546845512,191.81809719139227,79.35219256837922,142.82390159994014,105.0911432062073
6,CHAR,38.029305,-78.476677,68.37006951892694,145.7499579167252,169.51274775593356,94.13642248046897,77.3373638818373,33.45262325187632,,148.42284802027595,137.433287808686,172.13562592098472,68.37006951892694,66.0943204790056,84.83616119264414,50.458585968919095,27.22187796193033,58.354833599323875,112.26037941905996,87.82704996713892,204.7974432320956,89.76205456260429,57.87196533829564,401.42632546430406,108.42611382941732,145.16681935973222,29.371981802858183,135.8655717226986,82.41361177231234,66.0943204790056,117.67498067533623,55.58966629238175,94.8448230471464,58.92140968641539,68.37006951892694,87.2102965544765,92.01231125054564,159.35225902324567,59.98515246606391,110.0638147018467,79.80898803784001
7,CHES,36.768208,-76.287491,80.07049492071634,51.03553710272084,76.24282640741997,146.69881268930203,167.2533833943207,180.10280823785723,148.42284802027595,,16.602578762255966,32.395130787973656,80.07049492071634,82.75997372780199,153.97097613785695,121.7879631040732,173.48675061110973,124.00784033826035,49.11939015011801,163.43953422871783,58.66789728833644,175.7021128831982,90.71185942265907,395.64069651804607,70.84391566362561,5.705123958191726,139.35993179542967,18.222417193000357,67.81886860067125,82.75997372780199,78.96826873620928,187.23961506029488,144.81569965993629,189.6791372355049,80.07049492071634,147.80702955829855,101.99824377791312,18.094199358640527,157.6673919315372,41.73917685889217,141.030607415043
8,CHUC,36.728190999999995,-76.583191,69.79297375779073,37.7775062104052,65.8412740766161,145.70026861041728,151.6060485293788,168.20236102569874,137.433287808686,16.602578762255966,,35.57893989882958,69.79297375779073,73.20239008224095,151.57477276314765,107.37504779683013,161.59584566672189,118.96915922398487,49.55988760429932,160.91622891416898,67.37178622243108,172.6747398924592,79.60300232111825,405.98586948737125,72.61098614087841,18.50350125166307,131.1252396732372,24.63893599124571,55.31512589908997,73.20239008224095,62.47858918836593,173.44843641582557,128.41321638551378,182.08088443704,69.79297375779073,145.94587196484264,85.60973452439303,34.57860818274418,152.35348998582904,38.10597661630914,138.53119183440893
9,ELIZ,36.3022,-76.223228,105.11534227452967,42.41719219998988,55.82466030437372,178.70261267212203,178.60675933720267,202.1344522279425,172.13562592098472,32.395130787973656,35.57893989882958,,105.11534227452967,108.67593187096767,185.50884765264294,138.44411134825344,195.56083013715354,154.06950972140123,81.1325527158231,194.93733985895176,33.73617639222629,206.99008862840168,114.54164052371685,422.74857103331783,103.19282624366667,38.061555797350266,166.68680214767812,50.599188504803195,89.7225528439273,108.67593187096767,80.47447688714806,205.01855130047394,151.2448385113386,217.65934766336767,105.11534227452967,179.54051545900958,109.82030222509103,40.411290627520145,187.58642075890236,72.08203168013031,172.50594081039128
10,EMER,37.46689,-77.447,0.0,85.44471099761135,113.49195940732383,94.96540598466478,104.00070760995979,100.49252811504269,68.37006951892694,80.07049492071634,69.79297375779073,105.11534227452967,,5.136766967573699,95.60875592818975,53.11177683971813,93.89648651654548,57.788206815320294,48.70303817967114,103.89287477896912,137.04552630756172,113.52922100541988,11.509389671367618,390.73078003043605,55.41133643934037,76.81167899733931,62.265951333816226,67.89487372511127,18.3522114263898,5.136766967573699,70.80086585113418,111.55322208453346,96.14125458091866,113.42010428863298,0.0,92.2156333373945,63.48033377350327,91.33717822068893,88.21620257700278,42.81195668583736,83.39741860651391
11,ERIC,37.540726,-77.43605,5.136766967573699,90.15303806294413,118.3920151792914,89.86253304755145,105.8505383876809,98.70153336491822,66.0943204790056,82.75997372780199,73.20239008224095,108.67593187096767,5.136766967573699,,90.47586921538655,54.982507330047184,92.13986010850662,52.69878749857787,48.50656626868701,98.77534292345067,140.2442185808591,108.46640484020115,12.094522087170843,386.4003423909613,53.047024194159015,79.24472441198962,58.206556055728456,69.77516378950916,23.313787157477353,0.0,75.93194869051909,111.21263076137308,99.50579854372567,109.35298047068206,5.136766967573699,87.0822464177596,67.98529381725929,93.26209456561932,83.37628068284059,44.12645313171918,78.26115644333242
12,FAIR,38.846226,-77.306374,95.60875592818975,177.7130297290247,207.16015683211637,14.255577701552635,161.17468496252948,106.94619212102648,84.83616119264414,153.97097613785695,151.57477276314765,185.50884765264294,95.60875592818975,90.47586921538655,,121.93548966528644,103.70937578243336,38.43209121560772,104.9628239032118,9.496282153478365,211.44910108697093,22.344447809740807,94.64070739479517,316.5910336811331,85.43097103705925,148.68753603806348,56.25472319214528,136.14917647266537,113.44947368960938,90.47586921538655,166.25731355122932,137.396456114115,172.05065649643373,64.5761781303765,95.60875592818975,7.652074313277747,153.18967330424852,155.62405827953697,27.89129526295523,113.62914416558209,13.044899677038313
13,FARM,37.302096999999996,-78.391937,53.11177683971813,104.79925457415911,124.49973065803768,127.02190742901891,50.90528234001943,69.37051182623098,50.458585968919095,121.7879631040732,107.37504779683013,138.44411134825344,53.11177683971813,54.982507330047184,121.93548966528644,,63.462838070540286,85.8481560623406,101.10169300722485,127.58063987749937,172.16595074594323,132.87213940526354,42.94686856160116,433.364150990067,108.02459251002645,120.20865413233771,68.60569338924518,114.4240721570313,55.63343605595171,54.982507330047184,71.1757415763037,66.57922924929392,50.280323899629124,109.32114271645541,53.11177683971813,121.67802411963653,42.32752760089325,136.6340182154357,102.80279116817486,92.62322214315844,112.8889742024516
14,FISH,38.099000000000004,-78.9692,93.89648651654548,166.147798449721,187.62038874845484,114.87501949208327,70.37330209124164,6.6165901382749785,27.22187796193033,173.48675061110973,161.59584566672189,195.56083013715354,93.89648651654548,92.13986010850662,103.70937578243336,63.462838070540286,,83.1225734432918,139.13970661334116,104.69167170074331,228.71763947470907,103.56925581809352,82.85500965599714,418.6691863469898,135.63822724756184,170.5394183425684,52.909634650172784,161.76715686149427,106.28145623073542,92.13986010850662,134.4916112101442,34.05220129132454,96.81967170793166,59.60758624395969,93.89648651654548,107.47334002699509,105.43920243986271,185.22723691641974,76.43565489310785,136.26548604775056,101.16818358553282
15,FRED,38.3032,-77.4605,57.788206815320294,141.75137187064993,170.64815352962526,41.23909828424404,129.33674480785436,88.13907990796629,58.354833599323875,124.00784033826035,118.96915922398487,154.06950972140123,57.788206815320294,52.69878749857787,38.43209121560772,85.8481560623406,83.1225734432918,,77.00017924458052,46.23814851326515,182.59809244071025,55.8184884591149,56.21885455507151,348.27385329462913,63.03781136331362,119.19468448637544,30.25363976730552,107.23488271549773,75.94806107841515,52.69878749857787,128.08279239423487,113.93402543324844,136.1112454151916,69.17238747989649,57.788206815320294,36.468342495096614,114.93347268931512,128.9574119229902,33.6626752467238,82.34002610623595,27.47034775393218
16,GLOU,37.445229,-76.559448,48.70303817967114,83.41823722058918,113.28924180780942,97.6044927595219,151.632048376014,145.57593280774495,112.26037941905996,49.11939015011801,49.55988760429932,81.1325527158231,48.70303817967114,48.50656626868701,104.9628239032118,101.10169300722485,139.13970661334116,77.00017924458052,,114.44698940084433,106.64611399606146,126.84136786939503,60.031033529832676,363.0993878880645,23.104246506351853,43.74939275800313,96.85999696082175,31.18636784612306,48.4244599206737,48.50656626868701,91.3518974033921,159.705275979345,139.0231226290522,145.01754775876933,48.70303817967114,98.7115465161363,99.75299646615984,51.96364024499793,110.46322891574768,14.542566544921918,92.07888684005523
17,HERN,38.96973,-77.383873,103.89287477896912,186.65326890052035,215.98758514998983,21.405507407044652,164.8789187842585,107.39885112853865,87.82704996713892,163.43953422871783,160.91622891416898,194.93733985895176,103.89287477896912,98.77534292345067,9.496282153478365,127.58063987749937,104.69167170074331,46.23814851326515,114.44698940084433,,220.9445469234421,13.090716620032117,102.33412830085778,314.25909526979325,94.90147827047869,158.16524419710748,60.306665591373424,145.633227901468,121.89671766311596,98.77534292345067,174.32071221993994,138.6653763546763,177.41350050319616,60.61309879908299,103.89287477896912,16.533013931169748,160.23220988901372,165.11396432658142,28.345166090699284,123.01377778409729,22.43140812545214
